Date,Hour,MWh,kWh
1/18/23,7.0,36.91,36910.0
1/18/23,8.0,36.86,36860.0
1/18/23,9.0,36.98,36980.0
1/18/23,10.0,36.89,36890.0
1/18/23,11.0,36.94,36940.0
1/18/23,12.0,36.99,36990.0
1/18/23,13.0,36.86,36860.0
1/18/23,14.0,36.95,36950.0
1/18/23,15.0,36.84,36840.0
1/18/23,16.0,36.95,36950.0
1/18/23,17.0,36.87,36870.0
1/18/23,18.0,36.03,36030.0
1/18/23,19.0,36.17,36170.0
1/18/23,20.0,36.18,36180.0
1/18/23,21.0,36.31,36310.0
1/18/23,22.0,36.25,36250.0
1/18/23,23.0,36.35,36350.0
1/18/23,24.0,36.47,36470.0
1/19/23,1.0,36.39,36390.0
1/19/23,2.0,36.33,36330.0
1/19/23,3.0,36.21,36210.0
1/19/23,4.0,36.29,36290.0
1/19/23,5.0,36.26,36260.0
1/19/23,6.0,36.49,36490.0
1/19/23,7.0,36.74,36740.0
1/19/23,8.0,37.1,37100.0
1/19/23,9.0,37.13,37130.0
1/19/23,10.0,37.3,37300.0
1/19/23,11.0,37.11,37110.0
1/19/23,12.0,37.08,37080.0
1/19/23,13.0,36.88,36880.0
1/19/23,14.0,37.13,37130.0
1/19/23,15.0,37.19,37190.0
1/19/23,16.0,36.95,36950.0
1/19/23,17.0,36.59,36590.0
1/19/23,18.0,36.49,36490.0
1/19/23,19.0,36.41,36410.0
1/19/23,20.0,36.36,36360.0
1/19/23,21.0,36.09,36090.0
1/19/23,22.0,36.13,36130.0
1/19/23,23.0,36.29,36290.0
1/19/23,24.0,36.0,36000.0
1/20/23,1.0,35.64,35640.0
1/20/23,2.0,35.54,35540.0
1/20/23,3.0,35.44,35440.0
1/20/23,4.0,35.15,35150.0
1/20/23,5.0,35.18,35180.0
1/20/23,6.0,35.98,35980.0
1/20/23,7.0,35.77,35770.0
1/20/23,8.0,35.63,35630.0
1/20/23,9.0,35.68,35680.0
1/20/23,10.0,35.87,35870.0
1/20/23,11.0,36.21,36210.0
1/20/23,12.0,36.14,36140.0
1/20/23,13.0,36.32,36320.0
1/20/23,14.0,36.55,36550.0
1/20/23,15.0,36.41,36410.0
1/20/23,16.0,36.27,36270.0
1/20/23,17.0,36.32,36320.0
1/20/23,18.0,35.99,35990.0
1/20/23,19.0,35.55,35550.0
1/20/23,20.0,35.33,35330.0
1/20/23,21.0,35.02,35020.0
1/20/23,22.0,35.25,35250.0
1/20/23,23.0,35.45,35450.0
1/20/23,24.0,35.71,35710.0
1/21/23,1.0,35.43,35430.0
1/21/23,2.0,35.73,35730.0
1/21/23,3.0,35.56,35560.0
1/21/23,4.0,35.27,35270.0
1/21/23,5.0,35.16,35160.0
1/21/23,6.0,35.12,35120.0
1/21/23,7.0,34.94,34940.0
1/21/23,8.0,34.76,34760.0
1/21/23,9.0,34.76,34760.0
1/21/23,10.0,34.73,34730.0
1/21/23,11.0,34.61,34610.0
1/21/23,12.0,34.83,34830.0
1/21/23,13.0,34.97,34970.0
1/21/23,14.0,35.02,35020.0
1/21/23,15.0,35.39,35390.0
1/21/23,16.0,35.58,35580.0
1/21/23,17.0,35.19,35190.0
1/21/23,18.0,35.21,35210.0
1/21/23,19.0,34.93,34930.0
1/21/23,20.0,35.13,35130.0
1/21/23,21.0,35.28,35280.0
1/21/23,22.0,35.44,35440.0
1/21/23,23.0,35.53,35530.0
1/21/23,24.0,35.75,35750.0
1/22/23,1.0,35.6,35600.0
1/22/23,2.0,35.34,35340.0
1/22/23,3.0,35.29,35290.0
1/22/23,4.0,35.07,35070.0
1/22/23,5.0,35.16,35160.0
1/22/23,6.0,35.25,35250.0
1/22/23,7.0,35.14,35140.0
1/22/23,8.0,35.18,35180.0
1/22/23,9.0,35.25,35250.0
1/22/23,10.0,35.18,35180.0
1/22/23,11.0,35.28,35280.0
1/22/23,12.0,35.26,35260.0
1/22/23,13.0,35.33,35330.0
1/22/23,14.0,35.18,35180.0
1/22/23,15.0,35.29,35290.0
1/22/23,16.0,35.28,35280.0
1/22/23,17.0,35.42,35420.0
1/22/23,18.0,35.6,35600.0
1/22/23,19.0,35.74,35740.0
1/22/23,20.0,35.68,35680.0
1/22/23,21.0,35.59,35590.0
1/22/23,22.0,35.63,35630.0
1/22/23,23.0,35.12,35120.0
1/22/23,24.0,35.31,35310.0
1/23/23,1.0,35.24,35240.0
1/23/23,2.0,35.24,35240.0
1/23/23,3.0,35.28,35280.0
1/23/23,4.0,35.25,35250.0
1/23/23,5.0,35.28,35280.0
1/23/23,6.0,35.86,35860.0
1/23/23,7.0,36.07,36070.0
1/23/23,8.0,36.6,36600.0
1/23/23,9.0,36.79,36790.0
1/23/23,10.0,36.64,36640.0
1/23/23,11.0,36.85,36850.0
1/23/23,12.0,37.01,37010.0
1/23/23,13.0,36.71,36710.0
1/23/23,14.0,36.77,36770.0
1/23/23,15.0,36.32,36320.0
1/23/23,16.0,36.48,36480.0
1/23/23,17.0,36.33,36330.0
1/23/23,18.0,35.61,35610.0
1/23/23,19.0,35.2,35200.0
1/23/23,20.0,35.14,35140.0
1/23/23,21.0,35.44,35440.0
1/23/23,22.0,35.79,35790.0
1/23/23,23.0,35.5,35500.0
1/23/23,24.0,35.75,35750.0
1/24/23,1.0,35.53,35530.0
1/24/23,2.0,35.71,35710.0
1/24/23,3.0,35.77,35770.0
1/24/23,4.0,35.7,35700.0
1/24/23,5.0,35.58,35580.0
1/24/23,6.0,35.63,35630.0
1/24/23,7.0,36.32,36320.0
1/24/23,8.0,36.55,36550.0
1/24/23,9.0,36.6,36600.0
1/24/23,10.0,36.56,36560.0
1/24/23,11.0,36.34,36340.0
1/24/23,12.0,36.29,36290.0
1/24/23,13.0,36.57,36570.0
1/24/23,14.0,37.07,37070.0
1/24/23,15.0,36.8,36800.0
1/24/23,16.0,37.06,37060.0
1/24/23,17.0,36.99,36990.0
1/24/23,18.0,36.23,36230.0
1/24/23,19.0,35.93,35930.0
1/24/23,20.0,35.56,35560.0
1/24/23,21.0,35.63,35630.0
1/24/23,22.0,35.78,35780.0
1/24/23,23.0,35.71,35710.0
1/24/23,24.0,35.63,35630.0
1/25/23,1.0,35.64,35640.0
1/25/23,2.0,35.92,35920.0
1/25/23,3.0,35.96,35960.0
1/25/23,4.0,36.01,36010.0
1/25/23,5.0,35.85,35850.0
1/25/23,6.0,36.42,36420.0
1/25/23,7.0,36.86,36860.0
1/25/23,8.0,37.01,37010.0
1/25/23,9.0,37.03,37030.0
1/25/23,10.0,37.16,37160.0
1/25/23,11.0,37.27,37270.0
1/25/23,12.0,37.78,37780.0
1/25/23,13.0,37.9,37900.0
1/25/23,14.0,38.09,38090.0
1/25/23,15.0,37.96,37960.0
1/25/23,16.0,37.94,37940.0
1/25/23,17.0,37.73,37730.0
1/25/23,18.0,36.94,36940.0
1/25/23,19.0,36.89,36890.0
1/25/23,20.0,36.77,36770.0
1/25/23,21.0,36.5,36500.0
1/25/23,22.0,36.47,36470.0
1/25/23,23.0,36.34,36340.0
1/25/23,24.0,36.22,36220.0
1/26/23,1.0,36.12,36120.0
1/26/23,2.0,35.97,35970.0
1/26/23,3.0,35.91,35910.0
1/26/23,4.0,35.96,35960.0
1/26/23,5.0,35.91,35910.0
1/26/23,6.0,36.38,36380.0
1/26/23,7.0,36.7,36700.0
1/26/23,8.0,36.79,36790.0
1/26/23,9.0,36.5,36500.0
1/26/23,10.0,36.26,36260.0
1/26/23,11.0,36.85,36850.0
1/26/23,12.0,36.99,36990.0
1/26/23,13.0,36.87,36870.0
1/26/23,14.0,36.41,36410.0
1/26/23,15.0,36.55,36550.0
1/26/23,16.0,35.94,35940.0
1/26/23,17.0,35.28,35280.0
1/26/23,18.0,35.33,35330.0
1/26/23,19.0,35.43,35430.0
1/26/23,20.0,35.56,35560.0
1/26/23,21.0,35.24,35240.0
1/26/23,22.0,35.18,35180.0
1/26/23,23.0,35.57,35570.0
1/26/23,24.0,35.55,35550.0
1/27/23,1.0,35.4,35400.0
1/27/23,2.0,35.35,35350.0
1/27/23,3.0,35.23,35230.0
1/27/23,4.0,35.52,35520.0
1/27/23,5.0,35.5,35500.0
1/27/23,6.0,35.55,35550.0
1/27/23,7.0,35.56,35560.0
1/27/23,8.0,35.59,35590.0
1/27/23,9.0,35.74,35740.0
