Date,Hour,kWh,MWh
1/24/23,8.0,"5,631.00",5.63
1/24/23,9.0,515,0.52
1/24/23,10.0,505,0.51
1/24/23,11.0,"12,383.00",12.38
1/24/23,12.0,"15,639.00",15.64
1/24/23,13.0,"15,714.00",15.71
1/24/23,14.0,"15,801.00",15.8
1/24/23,15.0,"15,899.00",15.9
1/24/23,16.0,"15,960.00",15.96
1/24/23,17.0,"15,866.00",15.87
1/24/23,18.0,"15,899.00",15.9
1/24/23,19.0,"15,866.00",15.87
1/24/23,20.0,"15,834.00",15.83
1/24/23,21.0,"15,821.00",15.82
1/24/23,22.0,"15,814.00",15.81
1/24/23,23.0,"15,792.00",15.79
1/24/23,24.0,"15,808.00",15.81
1/25/23,1.0,"15,811.00",15.81
1/25/23,2.0,"15,821.00",15.82
1/25/23,3.0,"15,805.00",15.81
1/25/23,4.0,"15,811.00",15.81
1/25/23,5.0,"15,818.00",15.82
1/25/23,6.0,"15,847.00",15.85
1/25/23,7.0,"15,876.00",15.88
1/25/23,8.0,"15,951.00",15.95
1/25/23,9.0,"15,954.00",15.95
1/25/23,10.0,"15,989.00",15.99
1/25/23,11.0,"16,067.00",16.07
1/25/23,12.0,"16,268.00",16.27
1/25/23,13.0,"16,385.00",16.39
1/25/23,14.0,"16,433.00",16.43
1/25/23,15.0,"16,381.00",16.38
1/25/23,16.0,"16,333.00",16.33
1/25/23,17.0,"16,265.00",16.27
1/25/23,18.0,"16,125.00",16.13
1/25/23,19.0,"15,921.00",15.92
1/25/23,20.0,"15,785.00",15.79
1/25/23,21.0,"15,772.00",15.77
1/25/23,22.0,"15,743.00",15.74
1/25/23,23.0,"15,714.00",15.71
1/25/23,24.0,"15,727.00",15.73
1/26/23,1.0,"15,711.00",15.71
1/26/23,2.0,"15,695.00",15.7
1/26/23,3.0,"15,691.00",15.69
1/26/23,4.0,"15,701.00",15.7
1/26/23,5.0,"15,688.00",15.69
1/26/23,6.0,"15,685.00",15.69
1/26/23,7.0,"15,701.00",15.7
1/26/23,8.0,"15,672.00",15.67
